formulation,model,n_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,roc_auc_mean,roc_auc_std,logloss_mean,logloss_std,runtime_seconds_mean,runtime_seconds_std
binary_0_vs_1_4,ExtraTrees_balanced,5,0.8010869565217391,0.03450123966979105,0.7995456719273075,0.03549146769994467,0.7989158835951734,0.035199598891383695,0.8011411890684137,0.03467026389801472,0.8926829268292682,0.02626535253083162,0.41479020769014274,0.03777041277547784,0.8091277122497559,0.05855595516853617
binary_0_vs_1_4,LightGBM_fixed,5,0.7891304347826087,0.04504644735891765,0.7868483978957437,0.042488525623365796,0.7866461435242419,0.044297529098906926,0.7890077676465259,0.04456204512380382,0.8606169296987087,0.018426483713774807,0.632473963405537,0.08382165312971063,0.30059328079223635,0.2685647098947817
binary_0_vs_1_4,LogisticRegression_balanced,5,0.8141304347826088,0.020837271209435706,0.8132233381157341,0.020488310852927592,0.8123568208072502,0.020853317703882712,0.8143197108585873,0.02074521482633805,0.877116212338594,0.019290407942608716,0.44375829256886246,0.034283970339900265,0.013201141357421875,0.003844359545411866
binary_0_vs_1_4,RandomForest_balanced,5,0.8119565217391305,0.01906051947472849,0.8091104734576758,0.019794062992171364,0.8093693290870503,0.019629522690136365,0.8117417302192967,0.01926279905776146,0.8884265901482543,0.02549130641465142,0.4199098844157863,0.03882513574133144,1.0009997844696046,0.051926554619765884
binary_0_vs_1_4,XGBoost_fixed,5,0.8184782608695652,0.03698049094826958,0.8149928263988523,0.03572470577310217,0.815713188868781,0.036855185003778705,0.8180802712675996,0.036720640951996945,0.8832855093256814,0.022980636222023787,0.42894348733169146,0.046000233650984275,0.10441713333129883,0.027054605157443155
multiclass_5class_0_1_2_3_4,ExtraTrees_balanced,5,0.5489130434782609,0.019214858184417087,0.3704506905887486,0.028195417896087784,0.372331041972753,0.03466142506135727,0.5481205459959577,0.02118273970635623,0.794166236613737,0.015252160298199669,1.0526345323624713,0.03162096764376479,0.8542862415313721,0.08105479541051462
multiclass_5class_0_1_2_3_4,LightGBM_fixed,5,0.5543478260869565,0.037060276350505,0.3708227100403815,0.044091493140245394,0.36959105456914443,0.045825044768931796,0.5487931480602598,0.03763383364541445,0.7759720550264687,0.016432826832771804,1.8234531022023561,0.18888776512441915,1.1807258605957032,0.7344895196689862
multiclass_5class_0_1_2_3_4,LogisticRegression_balanced,5,0.5141304347826087,0.04131864741032218,0.42487848705980324,0.05715686895353379,0.38149062967125147,0.04280222039260992,0.5271094528684674,0.04039529523227679,0.7654839070273165,0.024920275142194193,1.197693786457786,0.05249381621232118,0.02714195251464844,0.010758764689700004
multiclass_5class_0_1_2_3_4,RandomForest_balanced,5,0.5771739130434783,0.029115424426040988,0.3922075133027733,0.020119019462730085,0.39632079547445753,0.021878788866531412,0.5696269137644591,0.030711372241895907,0.8052939315092121,0.01465008247045776,1.0186492541187966,0.029563180774824442,1.0855302810668945,0.08359748974640256
multiclass_5class_0_1_2_3_4,XGBoost_fixed,5,0.5760869565217391,0.03415707904884928,0.3632356568113586,0.038713450571324956,0.36281371135205454,0.043808966451219185,0.555953460308445,0.03709224629953215,0.7931281303337018,0.012583829505053372,1.0684056937534678,0.05389013843273218,0.4130033016204834,0.11807397115655205
ordinal_3class_0_vs_1_2_vs_3_4,ExtraTrees_balanced,5,0.6434782608695653,0.03678027025149699,0.5852381812707016,0.0551829159634036,0.5807556638387061,0.05069555844005163,0.6434377537058473,0.03631611196674518,0.8170790535677005,0.028287516255376687,0.7385933035802861,0.042813199840509505,0.8253149509429931,0.08367424175347926
ordinal_3class_0_vs_1_2_vs_3_4,LightGBM_fixed,5,0.6521739130434783,0.014379083212307561,0.5914519722975007,0.01426846900692142,0.593283380572678,0.014509979048136779,0.6506912149981788,0.01527143454564713,0.7980414136027336,0.024093604362715397,1.1288372578722476,0.1755909804558703,0.7326683044433594,0.46419739010082994
ordinal_3class_0_vs_1_2_vs_3_4,LogisticRegression_balanced,5,0.6086956521739131,0.025200050259499146,0.5938982234266788,0.02721437399624681,0.567867715665541,0.01900984895195877,0.6125907219171935,0.023553024449651478,0.7971595565614422,0.02597235836901252,0.8095983412464454,0.05368266511618401,0.016940593719482422,0.0035323214305901093
ordinal_3class_0_vs_1_2_vs_3_4,RandomForest_balanced,5,0.657608695652174,0.015371886547533645,0.5828750376392653,0.012475528094391132,0.5899777506292608,0.013014155972758318,0.6520805143584789,0.013788190979756578,0.8138265277858006,0.020940117902046133,0.7287045278844655,0.036504211949484555,1.0009346961975099,0.011350832449087606
ordinal_3class_0_vs_1_2_vs_3_4,XGBoost_fixed,5,0.6641304347826087,0.026735595383149683,0.5770707618187293,0.017029934840782676,0.5866102718571202,0.017737874584555818,0.6530669620796036,0.023350702933181495,0.8124022392305988,0.026574703850726744,0.7507022370100511,0.07461745625812531,0.24157361984252929,0.05623886148100973
